Data and time, Laser status, Laser current power (W), Laser current, Laser set power (W), LBO status, LBO current temp (C), LBO current, LBO set temp (C), VANADATE status, VANADATE current temp (C), VANADATE current, VANADATE set temp (C), ETALON status, ETALON current temp (C), ETALON current, ETALON set temp (C), DIODE1 status, DIODE1 current temp (C), DIODE1 temp current, DIODE1 set temp (C), DIODE1 current (A), DIODE2 status, DIODE2 current temp (C), DIODE2 temp current, DIODE2 set temp (C), DIODE2 current (A), Baseplate Temp (C), Heatsink Temp 1 (C), Heatsink Temp 2 (C)
2018-05-24T13:40:30.094926, SEEKING, 0.174, 4.87, 13.0000, LOCKED, 147.07, 6171.28, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.00, 1396.07, 53.00, LOCKED, 22.96, -512.78, 22.98, 0.00, LOCKED, 22.27, -562.97, 22.18, 0.00, 19.32, 24.04, 25.54
2018-05-24T13:41:38.910597, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.09, 6163.69, 147.08, OPEN, 20.05, 0.00, 30.00, LOCKED, 53.02, 1396.31, 53.00, LOCKED, 22.94, -489.07, 22.98, 0.00, LOCKED, 22.21, -566.06, 22.18, 0.00, 19.31, 24.05, 25.38
2018-05-24T13:42:47.686771, SEEKING, 0.174, 4.93, 13.0000, LOCKED, 147.05, 6231.48, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.02, 1398.06, 53.00, LOCKED, 22.93, -508.86, 22.98, 0.00, LOCKED, 22.17, -562.71, 22.18, 0.00, 19.27, 24.08, 25.38
2018-05-24T13:43:56.507423, SEEKING, 0.174, 4.94, 13.0000, LOCKED, 147.08, 6252.24, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.02, 1401.40, 53.00, LOCKED, 22.95, -505.39, 22.98, 0.00, LOCKED, 22.16, -569.59, 22.18, 0.00, 19.31, 24.07, 25.54
2018-05-24T13:45:06.183091, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.06, 6173.30, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.01, 1400.48, 53.00, LOCKED, 23.07, -512.17, 22.98, 0.00, LOCKED, 22.18, -570.98, 22.18, 0.00, 19.30, 24.13, 25.57
2018-05-24T13:46:14.998193, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.09, 6235.89, 147.08, OPEN, 20.01, 0.00, 30.00, LOCKED, 52.99, 1401.06, 53.00, LOCKED, 23.12, -507.68, 22.98, 0.00, LOCKED, 22.18, -573.13, 22.18, 0.00, 19.32, 23.96, 25.65
2018-05-24T13:47:23.779215, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.11, 6188.62, 147.08, OPEN, 20.00, 0.00, 30.00, LOCKED, 53.01, 1401.65, 53.00, LOCKED, 23.03, -506.63, 22.98, 0.00, LOCKED, 22.27, -571.60, 22.18, 0.00, 19.30, 24.10, 25.57
2018-05-24T13:48:32.594508, SEEKING, 0.174, 4.91, 13.0000, LOCKED, 147.05, 6225.51, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.01, 1400.39, 53.00, LOCKED, 23.03, -508.65, 22.98, 0.00, LOCKED, 22.30, -560.15, 22.18, 0.00, 19.31, 24.08, 25.66
2018-05-24T13:49:41.408475, SEEKING, 0.174, 4.88, 13.0000, LOCKED, 147.10, 6208.61, 147.08, OPEN, 20.02, 0.00, 30.00, LOCKED, 53.00, 1403.78, 53.00, LOCKED, 22.87, -502.32, 22.98, 0.00, LOCKED, 22.16, -565.68, 22.18, 0.00, 19.32, 24.10, 25.59
2018-05-24T13:50:50.223410, SEEKING, 0.174, 4.89, 13.0000, LOCKED, 147.06, 6239.47, 147.08, OPEN, 20.00, 0.00, 30.00, LOCKED, 53.01, 1403.09, 53.00, LOCKED, 23.01, -502.95, 22.98, 0.00, LOCKED, 22.24, -585.71, 22.18, 0.00, 19.28, 24.20, 25.60
